FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
1103,"Morgan County, AL",7,6.6,5.9,5.5,4.2,3.5,2.7,5,2.6,"$55,688 ",103.20%
1105,"Perry County, AL",13.7,12,10,10.3,8,6.5,5.5,12,8.3,"$33,712 ",62.50%
1107,"Pickens County, AL",9.5,8.1,6.8,6.9,5.5,4.6,3.7,7.3,4.1,"$41,870 ",77.60%
1109,"Pike County, AL",7.8,7.3,6.6,6.5,5,4.5,3.4,5.5,3.2,"$43,141 ",80.00%
1111,"Randolph County, AL",7.9,6.7,5.9,5.6,4.5,4,3.2,5.3,2.7,"$46,679 ",86.50%
1113,"Russell County, AL",7.4,6.5,6,5.6,4.4,4,3.1,5.8,3.1,"$40,821 ",75.70%
1115,"St. Clair County, AL",6.2,5.7,5.2,5.2,4.1,3.5,2.8,5.4,2.6,"$61,973 ",114.90%
1117,"Shelby County, AL",4.7,4.5,4.2,4.3,3.3,2.8,2.3,4.2,2.1,"$88,444 ",163.90%
1119,"Sumter County, AL",9.2,8.4,8,7.7,6.7,5.8,4.8,7.7,4.5,"$32,275 ",59.80%
1121,"Talladega County, AL",8.7,7.7,6.6,6.6,5.1,4.2,3.6,7.8,4.1,"$44,802 ",83.00%
1123,"Tallapoosa County, AL",8.2,7.5,6.1,5.6,4.3,4.1,3.2,7.6,4,"$46,654 ",86.50%
1125,"Tuscaloosa County, AL",6.5,5.9,5.5,5.7,4.3,3.6,2.8,7.3,3.6,"$56,610 ",104.90%
1127,"Walker County, AL",8.6,7.9,7.3,7.5,5.2,4.2,3.5,6.5,3.6,"$46,519 ",86.20%
1129,"Washington County, AL",11,9.5,9,8.6,6.9,5.8,4.9,8.9,4.7,"$36,346 ",67.40%
1131,"Wilcox County, AL",19.5,16.8,14.7,14.5,11.7,9.4,7.5,16.2,11,"$31,909 ",59.10%
1133,"Winston County, AL",9.5,8.6,7.6,7.1,5.1,4.2,3.5,5.2,2.8,"$46,453 ",86.10%
