FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
37103,"Jones County, NC",8.2,6.5,5.7,5.3,4.4,4.3,3.8,5.5,4.2,"$44,972 ",75.40%
37105,"Lee County, NC",9.9,7.9,7.1,5.9,5.1,4.4,4.4,7.8,5.4,"$57,025 ",95.70%
37107,"Lenoir County, NC",8.4,6.9,6.3,5.9,4.5,4,3.7,6,5,"$40,586 ",68.10%
37109,"Lincoln County, NC",8,6,5.4,4.7,4,3.5,3.5,6.3,4.1,"$56,183 ",94.20%
37111,"McDowell County, NC",8.7,6.2,5.4,4.8,4.1,3.4,3.8,6.8,4.5,"$47,579 ",79.80%
37113,"Macon County, NC",8.9,6.4,6.1,5.4,4.6,4,3.8,6.5,4.2,"$51,973 ",87.20%
37115,"Madison County, NC",8,6,5.6,4.9,4.3,3.7,3.6,6.7,4.3,"$49,373 ",82.80%
37117,"Martin County, NC",10.2,7.6,7.6,6.8,5.6,5,4.9,6.7,5.5,"$42,264 ",70.90%
37119,"Mecklenburg County, NC",7.3,5.8,5.3,4.7,4.3,3.8,3.6,7.5,4.9,"$72,340 ",121.30%
37121,"Mitchell County, NC",10.8,7.5,6.8,6.1,5.2,4.5,4.5,7.5,5.1,"$49,236 ",82.60%
37123,"Montgomery County, NC",8.1,6.2,5.6,5.2,4.6,4.1,3.9,6.5,4.7,"$48,522 ",81.40%
37125,"Moore County, NC",7.6,5.9,5.7,5,4.5,3.9,3.8,7.1,4.6,"$69,413 ",116.40%
37127,"Nash County, NC",10.1,7.7,7.2,6.6,6,5.2,4.7,8,6.3,"$49,883 ",83.70%
37129,"New Hanover County, NC",7.3,5.7,5.3,4.7,4.1,3.9,3.6,7,4.2,"$65,615 ",110.10%
37131,"Northampton County, NC",9.7,7.8,7.4,7.3,6.2,5.2,5,7.1,6.2,"$41,630 ",69.80%
37133,"Onslow County, NC",6.8,5.9,5.8,5.5,5.2,4.9,4.5,7.1,5.1,"$52,885 ",88.70%
37135,"Orange County, NC",5.2,4.5,4.6,4.2,3.8,3.3,3.3,5.2,3.5,"$82,732 ",138.80%
37137,"Pamlico County, NC",8.2,6.5,5.9,5.3,4.6,4.2,3.7,5.4,4.3,"$50,481 ",84.70%
37139,"Pasquotank County, NC",9.4,7.8,7.2,6.3,5.5,4.8,4.5,7.1,5.4,"$56,654 ",95.00%
37141,"Pender County, NC",8.8,6.9,6,5.3,4.6,4.2,3.9,6.3,4.2,"$59,812 ",100.30%
37143,"Perquimans County, NC",9.3,7.6,7,6.4,5.6,4.9,4.9,6.6,5.3,"$50,813 ",85.20%
37145,"Person County, NC",9.8,7.5,6.7,5.5,4.7,4.2,4.1,7,5,"$58,991 ",99.00%
37147,"Pitt County, NC",7.8,6.3,6,5.6,4.9,4.3,4.2,6.6,5,"$49,955 ",83.80%
37149,"Polk County, NC",6.4,5.2,5,4.6,4.2,3.8,3.7,6,4.7,"$58,607 ",98.30%
37151,"Randolph County, NC",8.4,6.4,5.6,4.9,4.4,3.8,3.7,7.1,4.7,"$48,849 ",81.90%
37153,"Richmond County, NC",11.4,8.7,7.8,6.9,6,5.5,5.1,8.9,7.3,"$42,335 ",71.00%
37155,"Robeson County, NC",11.5,9.2,8.4,8,6.5,5.9,5.2,8.6,7.6,"$39,139 ",65.70%
37157,"Rockingham County, NC",9.4,7.3,6.5,5.7,5.2,4.6,4.3,8.1,5.5,"$50,388 ",84.50%
37159,"Rowan County, NC",9,6.9,6,5.6,4.7,4.1,4,7.7,5,"$55,398 ",92.90%
37161,"Rutherford County, NC",10.9,8.3,7.7,6.7,6.1,5.2,4.8,9,6.5,"$44,004 ",73.80%
37163,"Sampson County, NC",7.9,6.3,5.8,5.5,4.8,4.1,3.7,5.7,4.5,"$45,387 ",76.10%
37165,"Scotland County, NC",14.7,11.6,10.5,9.1,7.7,7.4,6.5,11.7,9.5,"$33,531 ",56.20%
37167,"Stanly County, NC",7.9,5.9,5.3,4.6,4.1,3.6,3.6,6.1,4.4,"$53,769 ",90.20%
37169,"Stokes County, NC",7.6,5.9,5.4,4.8,4.2,3.7,3.5,6.2,4.2,"$59,068 ",99.10%
37171,"Surry County, NC",8.1,6,5.4,4.8,4.2,3.6,3.6,6.7,4.4,"$47,114 ",79.00%
