FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
13103,"Effingham County, GA",7.1,6.2,5.2,4.9,4.1,3.3,3,4.9,2.9,"$77,690 ",123.70%
13105,"Elbert County, GA",10.8,8.7,7.6,6.6,5.3,4.9,4.1,6.9,4.9,"$43,553 ",69.40%
13107,"Emanuel County, GA",12.5,10.5,8.9,7.8,6.7,6,5.5,7,5.3,"$36,243 ",57.70%
13109,"Evans County, GA",7.6,6.5,5.7,5,4.4,3.7,3.5,5.1,3.5,"$51,018 ",81.20%
13111,"Fannin County, GA",8.9,7.6,6.3,5.4,4.8,4,3.5,4.7,2.8,"$44,730 ",71.20%
13113,"Fayette County, GA",6.7,6.1,5.3,4.8,4.1,3.5,3.1,5.3,2.9,"$98,623 ",157.00%
13115,"Floyd County, GA",9.4,7.9,6.8,6.1,5.3,4.3,4,6.2,3.7,"$47,423 ",75.50%
13117,"Forsyth County, GA",5.8,5.3,4.6,4.2,3.8,3.2,2.9,4.5,2.5,"$116,690 ",185.80%
13119,"Franklin County, GA",9.7,8.2,6.4,5.3,4.8,3.9,3.6,5.8,3.7,"$47,706 ",76.00%
13121,"Fulton County, GA",8,7.1,6.1,5.5,4.9,4.1,3.7,7.9,4.7,"$71,504 ",113.90%
13123,"Gilmer County, GA",8.9,7.3,6.1,5.8,5.1,4.3,3.7,4.7,3,"$66,066 ",105.20%
13125,"Glascock County, GA",9.4,8.1,6.7,6.1,5,4.2,3.8,4,2.6,"$50,800 ",80.90%
13127,"Glynn County, GA",8.5,7.5,6.2,5.4,4.8,3.7,3.5,6.7,3.8,"$59,286 ",94.40%
13129,"Gordon County, GA",8.8,7.3,6,5.7,4.7,3.9,3.5,5.4,3.2,"$54,915 ",87.40%
13131,"Grady County, GA",7.7,7.4,6.1,5.5,4.9,3.9,3.5,4.3,3.1,"$54,601 ",86.90%
13133,"Greene County, GA",9.9,8.2,6.7,6.1,5.2,4.3,4,5.8,3.7,"$61,857 ",98.50%
13135,"Gwinnett County, GA",6.8,6.1,5.3,4.8,4.3,3.6,3.2,6.3,3.5,"$73,460 ",117.00%
13137,"Habersham County, GA",8,7,5.8,5.4,4.6,3.8,3.5,5.4,3.6,"$61,071 ",97.20%
13139,"Hall County, GA",6.8,5.9,4.9,4.6,3.9,3.2,2.9,4.7,2.7,"$67,735 ",107.90%
13141,"Hancock County, GA",14.6,11.7,10,8.5,7.1,6,5.8,8.8,6.4,"$36,424 ",58.00%
13143,"Haralson County, GA",9.2,8,6.7,5.9,4.8,3.9,3.5,5.8,3.5,"$51,431 ",81.90%
13145,"Harris County, GA",6.5,6,5.3,4.9,4.2,3.4,3.2,4.5,2.9,"$81,151 ",129.20%
