FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
51105,"Lee County, VA",8.6,8,7.1,6.7,5.1,4.1,4,6.4,4,"$38,229 ",48.30%
51107,"Loudoun County, VA",4.3,4.2,3.5,3.1,3,2.5,2.3,5.3,3.1,"$155,362 ",196.30%
51109,"Louisa County, VA",5.5,5,4.2,3.8,3.4,2.8,2.6,5.2,3.4,"$69,907 ",88.30%
51111,"Lunenburg County, VA",6.9,5.8,5,4.5,4.1,3.2,3.1,5.2,3.8,"$47,384 ",59.90%
51113,"Madison County, VA",4.4,4,3.4,3.1,2.9,2.4,2.2,3.8,2.5,"$67,373 ",85.10%
51115,"Mathews County, VA",4.9,4.5,4.2,4,3.7,3,2.8,4.9,3.2,"$68,946 ",87.10%
51117,"Mecklenburg County, VA",9.1,7.6,6,5.5,4.8,4,4,6.8,4.7,"$49,542 ",62.60%
51119,"Middlesex County, VA",5.4,5,4.2,3.8,3.2,2.7,2.5,5.1,3.4,"$60,752 ",76.80%
51121,"Montgomery County, VA",5.5,5,4.3,4.1,3.7,2.9,2.8,4.7,3,"$62,418 ",78.90%
51125,"Nelson County, VA",5.4,4.8,4,3.5,3.5,3.1,2.7,5.6,3.5,"$60,757 ",76.80%
51127,"New Kent County, VA",4.9,4.4,3.8,3.3,3.2,2.7,2.3,4.5,3,"$107,658 ",136.00%
51131,"Northampton County, VA",8.9,7.4,6,5.7,5.6,5.4,4.4,7.8,5.4,"$50,096 ",63.30%
51133,"Northumberland County, VA",7.2,6.9,6,5.4,5.2,4.4,4.3,6.3,4.9,"$60,575 ",76.50%
51135,"Nottoway County, VA",5.9,5.2,4.5,3.9,3.8,3,2.7,5,3.7,"$51,503 ",65.10%
51137,"Orange County, VA",5.8,5.2,4.5,4,3.7,3,3,5.6,3.6,"$73,226 ",92.50%
51139,"Page County, VA",9,7.9,6.8,5.5,5.1,4.1,3.8,7.3,4.6,"$52,107 ",65.80%
51141,"Patrick County, VA",8.1,6.6,5.3,4.8,4.2,3.8,3.4,6.8,4.5,"$46,149 ",58.30%
51143,"Pittsylvania County, VA",6.9,6.2,5.2,4.7,4.2,3.5,3.3,6.4,4,"$49,124 ",62.10%
51145,"Powhatan County, VA",5,4.4,3.9,3.5,3.3,2.6,2.5,4.8,2.9,"$98,465 ",124.40%
51147,"Prince Edward County, VA",8.2,7.5,6.2,5.3,4.8,3.8,3.7,6.4,4.8,"$47,968 ",60.60%
51149,"Prince George County, VA",6.8,6.2,5.3,4.8,4.4,3.6,3.3,6.4,4.5,"$75,717 ",95.70%
51153,"Prince William County, VA",5.1,4.8,4.1,3.6,3.4,2.7,2.5,6.5,4,"$111,117 ",140.40%
51155,"Pulaski County, VA",7.4,6,5,5.9,5.3,3.4,3.4,7.8,4,"$50,530 ",63.80%
51157,"Rappahannock County, VA",5,4.7,4.1,3.5,3.5,2.7,2.5,4.6,2.9,"$76,634 ",96.80%
51159,"Richmond County, VA",6,5.3,4.5,3.6,3.6,3.1,2.9,4.9,3.5,"$55,870 ",70.60%
