FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
28103,"Noxubee County, MS",13.4,12.6,9.9,8.4,7.5,6.9,7.3,10.9,8.9,"$35,880 ",75.70%
28105,"Oktibbeha County, MS",7.9,7.2,6.2,5.5,5.1,4.9,5.6,7.5,5.5,"$44,234 ",93.40%
28107,"Panola County, MS",11.9,10.7,8.8,7.5,6.9,6.2,6.6,9.6,7.1,"$41,060 ",86.70%
28109,"Pearl River County, MS",7.4,6.7,6.2,6.1,5.4,4.9,5.3,7.1,5.6,"$50,611 ",106.80%
28111,"Perry County, MS",10.4,9.2,8.1,7.3,6.5,6.1,6.8,8.6,6.5,"$47,073 ",99.40%
28113,"Pike County, MS",9.8,8.4,7.4,6.9,6.2,6,6.6,8.8,7.1,"$37,054 ",78.20%
28115,"Pontotoc County, MS",7.3,6.9,5.6,4.8,4,4,4.4,7.5,4.4,"$53,272 ",112.50%
28117,"Prentiss County, MS",8.4,7.6,6.1,5.6,4.7,4.4,4.9,6.8,4.4,"$44,543 ",94.00%
28119,"Quitman County, MS",14.8,13.2,10.9,9.9,9.2,7.9,8.2,10.6,8.5,"$31,077 ",65.60%
28121,"Rankin County, MS",5.2,4.7,4.2,4,3.7,3.6,4,5.2,3.6,"$68,583 ",144.80%
28123,"Scott County, MS",6.6,5.5,4.9,4.7,4.2,4.1,4.5,5.8,4.7,"$42,069 ",88.80%
28125,"Sharkey County, MS",13,11.1,9.8,9,8.2,7.5,9.1,10.7,9.4,"$46,163 ",97.50%
28127,"Simpson County, MS",7.4,6.5,6,5.6,5,4.7,5.2,6.7,5.2,"$41,988 ",88.60%
28129,"Smith County, MS",6.7,5.8,5.4,5.4,4.9,4.6,5.2,5.7,4.5,"$48,968 ",103.40%
28131,"Stone County, MS",9.5,8.6,7.5,6.9,6.3,6,6.1,7.4,5.4,"$51,493 ",108.70%
28133,"Sunflower County, MS",13.8,12.6,10.6,9.5,8.5,8,9.1,10.9,9.1,"$35,149 ",74.20%
28135,"Tallahatchie County, MS",11.1,9.4,7.6,6.9,5.5,5.5,5.7,7.3,6.1,"$35,150 ",74.20%
28137,"Tate County, MS",8.9,8.6,7.2,6,5.2,5.1,5.6,7.5,5.6,"$61,751 ",130.40%
28139,"Tippah County, MS",9.8,8.4,6.4,5.7,4.6,4.5,5.1,6.9,4.6,"$45,568 ",96.20%
28141,"Tishomingo County, MS",9.2,7.8,6.4,5.6,5.1,4.7,5.1,6.5,4.6,"$48,897 ",103.20%
28143,"Tunica County, MS",12.4,11.9,9.4,7.3,6.1,5.5,6.3,14.8,8.9,"$36,850 ",77.80%
28145,"Union County, MS",7.1,6.2,5.2,4.5,3.7,3.6,4.2,7,4.1,"$50,116 ",105.80%
28147,"Walthall County, MS",10.6,9.6,8.2,7.9,6.9,6.6,7.3,8.3,6.9,"$30,992 ",65.40%
28149,"Warren County, MS",8.9,7.7,6.7,6.5,5.8,5.6,6,8.5,6.2,"$48,283 ",101.90%
28151,"Washington County, MS",14.5,12.7,10.4,9.2,7.3,6.9,7.9,10.6,8.2,"$35,344 ",74.60%
28153,"Wayne County, MS",10.7,8.9,8,7.5,6.5,5.6,6.1,8.5,6.7,"$36,193 ",76.40%
28155,"Webster County, MS",9.5,8.6,7.3,6.4,5.4,5.1,5.7,7.2,5.4,"$51,351 ",108.40%
28157,"Wilkinson County, MS",12.4,11.6,10.7,10.4,9.1,8.8,10.2,12.8,11.1,"$35,394 ",74.70%
28159,"Winston County, MS",11,10.1,8.4,7.2,6.2,5.8,6.1,8.5,6.2,"$44,029 ",93.00%
28161,"Yalobusha County, MS",9.9,9.3,7.2,6.4,5.6,5.1,5.7,7.7,5.5,"$42,532 ",89.80%
28163,"Yazoo County, MS",10.9,10.1,8.3,7.5,6.3,5.7,6.3,10,7.3,"$37,367 ",78.90%
