Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010,,,,,,,,,,
2016-2020,5109,"Pike, AR        ",9,3.50%,7.20%,8.50%,10.10%,18.30%,,,,,,,,,,
2016-2020,5111,"Poinsett, AR        ",3,3.60%,6.20%,5.60%,6.30%,11.50%,,,,,,,,,,
2016-2020,5113,"Polk, AR        ",7,5.10%,8.10%,9.90%,10.90%,15.30%,,,,,,,,,,
2016-2020,5115,"Pope, AR        ",5,7.50%,11.80%,14.70%,19.00%,24.60%,,,,,,,,,,
2016-2020,5117,"Prairie, AR        ",8,3.40%,6.50%,7.20%,9.00%,15.30%,,,,,,,,,,
2016-2020,5119,"Pulaski, AR        ",2,11.40%,18.80%,23.50%,28.10%,35.20%,,,,,,,,,,
2016-2020,5121,"Randolph, AR        ",7,2.60%,6.30%,7.90%,10.60%,13.80%,,,,,,,,,,
2016-2020,5123,"St. Francis, AR        ",6,6.20%,8.00%,8.50%,9.60%,10.90%,,,,,,,,,,
2016-2020,5125,"Saline, AR        ",2,5.40%,8.20%,11.90%,16.40%,27.60%,,,,,,,,,,
2016-2020,5127,"Scott, AR        ",6,2.70%,3.70%,5.90%,8.40%,12.10%,,,,,,,,,,
2016-2020,5129,"Searcy, AR        ",9,3.00%,7.10%,7.50%,8.40%,10.90%,,,,,,,,,,
2016-2020,5131,"Sebastian, AR        ",2,7.20%,11.90%,14.60%,16.60%,23.30%,,,,,,,,,,
2016-2020,5133,"Sevier, AR        ",6,6.30%,8.50%,7.20%,9.20%,13.40%,,,,,,,,,,
2016-2020,5135,"Sharp, AR        ",7,5.30%,8.20%,8.70%,10.30%,10.50%,,,,,,,,,,
2016-2020,5137,"Stone, AR        ",9,2.20%,7.00%,9.40%,9.80%,12.60%,,,,,,,,,,
2016-2020,5139,"Union, AR        ",7,7.60%,10.70%,12.70%,14.90%,21.20%,,,,,,,,,,
2016-2020,5141,"Van Buren, AR        ",8,3.60%,6.80%,10.50%,11.50%,15.80%,,,,,,,,,,
2016-2020,5143,"Washington, AR        ",2,12.80%,18.00%,20.00%,24.50%,33.20%,,,,,,,,,,
2016-2020,5145,"White, AR        ",4,5.40%,8.80%,10.90%,15.50%,20.70%,,,,,,,,,,
2016-2020,5147,"Woodruff, AR        ",9,4.90%,7.00%,7.50%,8.00%,15.10%,,,,,,,,,,
2016-2020,5149,"Yell, AR        ",6,2.70%,5.00%,7.40%,10.90%,13.30%,,,,,,,,,,
